zip,lat,long
80645,40.2520213,-104.5888356
81652,39.4967167,-107.6452085
80542,40.2288412,-104.9973028
81054,37.8159522,-103.2663479
80422,39.8038642,-105.4951903
80530,40.1036871,-104.9213643
80759,40.1402047,-102.6675575
80540,40.227125,-105.3833808
80807,39.260229,-102.1632718
81323,37.6191472,-108.3326648
80443,39.5140406,-106.1816196
81089,37.6365381,-104.7520939
81328,37.3227329,-108.3801314
80116,39.346926,-104.7287607
80651,40.2218316,-104.8221147
80446,40.0862265,-105.9392355
80135,39.2685181,-105.1726816
81252,38.0364889,-105.5005483
80643,40.172656,-104.4257533
80913,38.6996005,-104.7637619
81641,39.9777424,-107.763621
81419,38.9819946,-107.71625
80758,40.0738166,-102.1632718
80828,39.2936584,-103.682586
80814,38.9601349,-105.1960795
80466,40.0118121,-105.6412527
81240,38.4757797,-104.9856176
80470,39.3885645,-105.336536
81125,37.841757,-106.0169971
80610,40.7195849,-104.5189214
81132,37.6231283,-106.3934777
81428,38.9065418,-107.5505152
81224,38.8697746,-106.9814332
80452,39.7942815,-105.6177942
81063,38.4621184,-103.7752634
80644,40.343962,-104.4956239
80734,40.5371334,-102.3463875
81432,38.1680453,-107.71625
80103,39.7102015,-104.2233903
80459,40.0588577,-106.3889136
80117,39.3652524,-104.4257533
81615,39.1903602,-106.947666
80019,39.7864873,-104.6937674
80720,40.1125543,-103.2663479
81639,40.5740901,-107.2429976
81648,39.9351076,-108.7600963
80654,40.138922,-104.053676
80535,40.7695876,-105.1960795
80547,40.5185615,-104.9564084
80133,39.1136191,-104.9009254
80440,39.1662589,-105.92299
80447,40.3053839,-105.8290298
81326,37.2023531,-108.0954351
81120,37.1020511,-106.2522143
80442,39.9041156,-105.9112424
81140,37.3128275,-106.0875326
80467,40.2861621,-107.0539434
81069,37.8265907,-104.8921668
80930,38.8055168,-104.4956239
80137,39.6889547,-104.5888356
81151,37.21518,-105.7351171
80536,40.8463806,-105.3599568
81073,37.5429023,-102.7135121
81418,38.8426336,-107.9625837
81527,38.7643854,-108.5700636
81423,37.9811237,-108.3801314
81524,39.2728339,-108.7838572
80737,40.8765649,-102.1632718
81019,37.944143,-104.8403544
81039,37.9314796,-104.053676
80520,40.1128519,-104.9374252
80926,38.652249,-104.8921668
81022,38.1345872,-104.4257533
81062,38.3337392,-103.98402
81055,37.5527617,-105.0791228
80512,40.6494492,-105.6412527
81334,37.109763,-108.5463165
80650,40.6847369,-104.6354631
81410,38.8037788,-108.0124469
80648,40.7749283,-104.705431
80864,38.7230724,-104.1698463
81654,39.2355773,-106.9830865
81047,37.9831079,-102.1175404
81225,38.9193471,-106.9653756
80813,38.7620103,-105.1492869
80454,39.6162595,-105.2501999
81624,39.1764932,-107.763621
81023,38.0869606,-104.9622498
81131,37.8631052,-105.7116464
80478,39.988308,-105.8466437
81152,37.0856352,-105.4536718
81525,39.2650225,-108.9502232
81324,37.7080172,-109.04532
81141,37.175558,-105.9391442
80705,40.2705409,-103.8288717
81236,38.706155,-106.2992912
80928,38.6296244,-104.4257533
81223,38.3883641,-105.6412527
80810,38.8564154,-102.4839212
81415,38.6576115,-107.71625
80731,40.6322012,-102.5757028
80480,40.7146546,-106.2992912
80105,39.7237513,-103.8216261
80611,40.6637663,-104.332644
80836,39.1749696,-102.5757028
80444,39.7104468,-105.6969788
80743,40.1898538,-102.9435536
80624,40.4298058,-104.4490398
81427,38.0307924,-107.6096947
80809,38.8152562,-105.0557415
80821,38.9744715,-103.2663479
81645,39.4734329,-106.4641459
81036,38.4133446,-102.7594847
80728,40.6014552,-102.8514837
81630,39.5363327,-108.5225709
81133,37.4448647,-105.2662931
81424,38.2926138,-108.4750846
80451,40.0727581,-106.1026484
81123,37.4074724,-105.5474373
81154,37.6653737,-106.676292
81233,38.4144721,-105.8994956
81058,38.0549519,-103.8911999
80835,39.2255329,-104.0769024
80515,40.4265618,-105.3833808
80545,40.8242966,-105.6647142
80623,40.2847036,-104.77616
81090,37.4334472,-102.1632718
81523,38.9594472,-108.8551484
81020,37.3562908,-104.8221147
80045,39.7503186,-104.8367063
80741,40.549479,-103.4742993
80820,38.8108726,-105.5474373
81092,38.1876644,-102.7364962
80482,39.8486665,-105.8055471
81430,38.0099049,-108.0717219
80449,38.9353969,-105.8290298
81149,38.1188484,-106.3934777
81041,37.8706367,-102.3922135
80420,39.2722966,-106.0698963
81235,37.9799268,-107.3375791
81146,37.6572135,-105.5474373
80815,39.2873463,-103.035694
80819,38.946938,-105.0060673
81143,38.1156255,-105.8290298
81077,38.0145079,-103.6279511
80653,40.4080357,-103.98402
81130,37.8235744,-107.0067031
81025,38.4057154,-104.2395942
80832,39.1211554,-104.1652062
81076,38.318736,-103.5899733
80427,39.7843973,-105.5064087
80483,40.1250307,-106.9358604
80827,39.0555067,-105.5474373
81091,37.1469098,-104.9856176
80833,38.7691719,-103.9608091
80729,40.9137014,-104.2395942
80428,40.8536562,-106.9594723
81422,38.4001285,-108.6888227
80456,39.2863811,-105.6412527
81231,38.5466003,-106.9179992
81253,38.1926467,-105.1025075
80436,39.7466081,-105.6353878
80652,40.0928346,-104.262851
81059,37.5619311,-104.0072348
80860,38.7024053,-105.096661
81433,37.8543181,-107.6215321
80727,40.137726,-102.5068597
80726,40.9308029,-102.7594847
80736,40.8199236,-103.035694
80733,40.3607517,-103.4627375
80101,39.4229261,-103.9608091
80438,39.7397827,-105.7938069
81242,38.5109953,-106.0801839
80825,38.8160596,-102.8514837
80914,38.8212278,-104.7141792
80805,39.2488585,-102.4609873
80481,40.1028037,-105.488828
80735,39.6943996,-102.3005803
80722,40.4966064,-103.2432632
81327,37.54419,-108.6056873
80818,39.3970882,-103.4974258
81643,39.0999772,-108.1191501
80744,40.8120404,-102.3922135
80468,40.0571876,-106.1757203
80455,40.0955449,-105.3950939
81057,38.1308527,-102.8744945
81244,38.3689984,-105.1637254
81222,38.3598714,-105.7556564
80469,40.1929065,-106.947666
80131,39.4759028,-105.0082584
81431,38.0983954,-108.6650678
80649,40.3450333,-104.1698463
80747,40.9458377,-103.1509672
81649,39.4938352,-106.3228338
80497,39.6326298,-106.0779794
81121,37.019798,-107.4262813
81331,37.4930379,-108.8551484
80612,40.9089514,-104.8921668
81029,37.1045906,-102.4839212
81071,38.4166838,-102.3463875
80488,40.49,-106.83
81044,37.8940884,-102.9435536
81210,38.8284657,-106.5819789
81221,38.3587751,-105.152211
81148,37.1711447,-105.9854114
81040,37.7300491,-105.3131185
80025,39.9320235,-105.2778154
80510,40.2285281,-105.6647142
80861,39.4585969,-102.7824777
80804,39.3478748,-103.2201828
80834,39.2850958,-102.8744945
81064,37.2973159,-103.035694
81434,38.9595078,-107.3375791
80802,38.7669754,-102.1632718
81610,40.330684,-108.7600963
80721,40.6544636,-102.1861447
81320,37.7386733,-108.736337
80750,40.435762,-103.5899733
80423,39.878052,-106.5819789
80812,39.6413648,-102.9665821
80745,40.9250757,-103.4974258
80822,39.6773251,-102.644587
81049,37.2922244,-103.4511768
81646,39.1598325,-108.059866
80749,40.8716529,-102.5757028
80546,40.5228791,-104.8502048
81024,37.2131649,-104.6950943
81155,38.2411424,-106.1110501
81656,39.2743879,-106.8879064
80024,39.84,-104.91
81136,37.7259495,-105.8055471
80742,40.8463821,-103.8216261
81332,37.7045981,-107.9887402
80824,39.6517804,-102.5068597
80823,38.742234,-103.4974258
81033,38.1946567,-103.8556838
80757,39.7919878,-103.5899733
80457,39.6504527,-105.2867776
80754,40.7323784,-103.6131203
80830,39.1257587,-103.8911999
80432,39.2859435,-105.8642593
81251,39.0961276,-106.2757514
80622,40.5380249,-104.4606845
80476,39.6784584,-105.7644596
81027,37.0549579,-103.682586
81124,37.2841906,-106.11546
81426,37.8418695,-107.8346924
81030,38.1067879,-103.5107978
80463,39.906752,-106.7942405
80425,39.4203796,-105.1969936
81220,38.3249043,-107.36123
80511,40.3386932,-105.5652071
81126,37.1620232,-105.3811536
81325,38.0670513,-108.8551484
80801,39.7015232,-103.1509672
81087,37.3507103,-102.4495221
81640,40.6456382,-108.5225709
81522,38.6204422,-108.9502232
80532,40.453697,-105.4501932
80544,40.1033233,-105.172316
81128,37.0455888,-106.7942405
81241,38.6263784,-106.4994889
80453,39.6647992,-105.2432511
80740,39.6747738,-103.3818345
80755,39.9101686,-102.3692982
81084,37.5491637,-102.4609873
80929,38.828737,-104.6354631
81248,38.341491,-106.4170311
81239,38.5752946,-106.5701927
80477,40.49,-106.83
81081,37.0950871,-104.053676
81655,39.7529418,-106.7175669
80746,40.6069698,-102.4638538
81243,38.2546994,-107.1484521
81638,40.2928811,-107.5268471
81129,37.0886094,-106.0195626
81330,37.2002483,-108.4988269
81045,38.5270285,-103.2201828
81043,38.1201842,-102.2211781
80862,38.8866092,-103.0472164
81429,38.3276974,-108.8195012
81138,37.0126094,-105.6471178
81335,37.545389,-108.7244578
81021,38.423086,-103.4049445
80434,40.8724852,-106.2992912
81411,38.2957747,-108.9502232
80426,39.8973875,-106.9240554
81237,38.6092912,-106.6173415
81232,38.2667683,-105.6089981
81642,39.3721737,-106.6055534
81653,40.9719239,-107.2784615
80473,40.4247119,-106.1110501
80479,40.0641378,-106.8768415
80264,39.7425301,-104.9852525
80290,39.744228,-104.9867131
80293,39.746182,-104.9898169
80294,39.7495134,-104.9896343
80419,39.7297726,-105.2036355
80448,39.5057129,-105.6647142
80471,39.9310971,-105.4285907
80475,39.418324,-105.5371793
81038,39.1,-103.15
81227,38.53,-106.05
81612,39.1942153,-106.8209133
81633,40.3305891,-108.4038672
80001,39.8,-105.09
80006,39.85,-105.08
80036,39.86,-105.04
80042,39.7400461,-104.8099633
80108,39.4504837,-104.8688126
80161,39.6,-104.9599999
80201,39.75,-104.99
80217,39.790486,-104.9000469
80244,39.74,-104.98
80250,39.6802303,-104.9429156
80259,39.74,-104.98
80274,39.7439223,-104.9872477
80291,39.74,-104.98
80306,40.0177203,-105.2757897
80314,40.02,-105.27
80329,37.09024,-95.712891
80430,40.5290145,-106.4877072
80474,39.917265,-105.4990832
80533,40.1893925,-105.1776434
80638,40.42,-104.7099999
80841,39,-104.88
80866,38.9946259,-105.0495755
80935,38.8099385,-104.7599648
80940,37.09024,-95.712891
80945,38.8363582,-104.794212
80951,38.8622755,-104.6733584
80995,38.9615448,-104.7907473
81009,38.2775967,-104.4963519
81502,39.0687149,-108.5662111
